,Architecture,Source Dataset,Target Dataset,Oracle
264,regnety006,Unknown,flower,0.9902319902319904
265,regnety008,Unknown,flower,0.9804639804639804
266,diracnet18v2,Unknown,flower,0.9316239316239316
267,diracnet34v2,Unknown,flower,0.945054945054945
268,densenet121,Unknown,flower,0.9768009768009768
269,espnetv2_wd2,Unknown,flower,0.9462759462759462
270,hrnet_w18_small_v1,Unknown,flower,0.9731379731379732
271,hrnetv2_w18,Unknown,flower,0.9804639804639804
272,ror3_56_cifar10,Unknown,flower,0.7155067155067155
273,ror3_56_cifar100,Unknown,flower,0.7753357753357754
274,ror3_56_svhn,Unknown,flower,0.7448107448107448
275,condensenet74_c4_g4,Unknown,flower,0.9768009768009768
276,condensenet74_c8_g8,Unknown,flower,0.9816849816849816
277,shakeshakeresnet20_2x16d_cifar10,Unknown,flower,0.7875457875457875
278,shakeshakeresnet20_2x16d_cifar100,Unknown,flower,0.8229548229548229
279,shakeshakeresnet20_2x16d_svhn,Unknown,flower,0.7741147741147741
280,peleenet,Unknown,flower,0.9743589743589745
281,wrn50_2,Unknown,flower,0.9755799755799756
282,espnetv2_w1,Unknown,flower,0.9633699633699634
283,vovnet27s,Unknown,flower,0.9792429792429792
284,vovnet57,Unknown,flower,0.9865689865689866
285,selecsls60,Unknown,flower,0.9853479853479854
286,hardnet39ds,Unknown,flower,0.9816849816849816
287,hardnet68,Unknown,flower,0.9816849816849816
288,sqnxt23_w1,Unknown,flower,0.9316239316239316
289,sqnxt23_w2,Unknown,flower,0.971916971916972
290,shufflenet_g1_w1,Unknown,flower,0.9645909645909646
291,shufflenet_g4_w1,Unknown,flower,0.9658119658119658
292,menet108_8x1_g3,Unknown,flower,0.9316239316239316
293,menet160_8x1_g8,Unknown,flower,0.927960927960928
294,mobilenet_w1,Unknown,flower,0.9816849816849816
295,mobilenet_w3d4,Unknown,flower,0.9755799755799756
296,fdmobilenet_w1,Unknown,flower,0.9645909645909646
297,igcv3_w1,Unknown,flower,0.9731379731379732
298,igcv3_wd4,Unknown,flower,0.938949938949939
299,mnasnet_b1,Unknown,flower,0.9902319902319904
300,darts,Unknown,flower,0.9731379731379732
301,proxylessnas_gpu,Unknown,flower,0.9853479853479854
302,fbnet_cb,Unknown,flower,0.978021978021978
303,xception,Unknown,flower,0.984126984126984
304,inceptionv3,Unknown,flower,0.9853479853479854
305,inceptionv4,Unknown,flower,0.984126984126984
306,nasnet_4a1056,Unknown,flower,0.9829059829059827
307,spnasnet,Unknown,flower,0.9792429792429792
308,efficientnet_b0,Unknown,flower,0.9816849816849816
309,efficientnet_b1,Unknown,flower,0.989010989010989
310,efficientnet_b0b,Unknown,flower,0.984126984126984
311,efficientnet_edge_large_b,Unknown,flower,0.9804639804639804
312,mixnet_l,Unknown,flower,0.9853479853479854
313,mobilenet_w1_cub,Unknown,flower,0.9267399267399268
314,proxylessnas_mobile_cub,Unknown,flower,0.9328449328449328
315,bninception,Unknown,intel,0.9346666666666666
316,bam_resnet50,Unknown,intel,0.942
317,alexnet,Unknown,intel,0.9326666666666666
318,zfnet,Unknown,intel,0.9316666666666666
319,vgg19,Unknown,intel,0.9393333333333334
320,resnet10,Unknown,intel,0.935
321,resnet18,Unknown,intel,0.93
322,resnet20_cifar10,Unknown,intel,0.8926666666666667
323,resnet20_cifar100,Unknown,intel,0.9003333333333333
324,resnet20_svhn,Unknown,intel,0.8726666666666667
325,resnet50,Unknown,intel,0.9376666666666666
326,resnet56_cifar10,Unknown,intel,0.9026666666666666
327,resnet56_cifar100,Unknown,intel,0.9066666666666666
328,resnet56_svhn,Unknown,intel,0.878
329,resnet101,Unknown,intel,0.9363333333333334
330,preresnet10,Unknown,intel,0.923
331,preresnet18,Unknown,intel,0.9316666666666666
332,preresnet20_cifar10,Unknown,intel,0.8953333333333333
333,preresnet20_cifar100,Unknown,intel,0.8976666666666666
334,preresnet20_svhn,Unknown,intel,0.8803333333333333
335,preresnet50,Unknown,intel,0.9393333333333334
336,preresnet56_cifar10,Unknown,intel,0.905
337,preresnet56_cifar100,Unknown,intel,0.898
338,preresnet56_svhn,Unknown,intel,0.9033333333333332
339,preresnet101,Unknown,intel,0.9353333333333332
340,resnext14_16x4d,Unknown,intel,0.9346666666666666
341,resnext14_32x2d,Unknown,intel,0.9293333333333332
342,resnext14_32x4d,Unknown,intel,0.932
343,seresnet10,Unknown,intel,0.9303333333333332
344,seresnet18,Unknown,intel,0.9336666666666666
345,seresnet50,Unknown,intel,0.9403333333333334
346,seresnet101,Unknown,intel,0.9426666666666668
347,seresnet56_cifar10,Unknown,intel,0.9063333333333332
348,seresnet56_cifar100,Unknown,intel,0.901
349,seresnet56_svhn,Unknown,intel,0.881
350,sepreresnet10,Unknown,intel,0.9306666666666666
351,sepreresnet18,Unknown,intel,0.9326666666666666
352,seresnext50_32x4d,Unknown,intel,0.9403333333333334
353,senet16,Unknown,intel,0.9333333333333332
354,senet28,Unknown,intel,0.9333333333333332
355,resnesta18,Unknown,intel,0.9353333333333332
356,ibn_resnet50,Unknown,intel,0.9373333333333334
357,ibn_densenet121,Unknown,intel,0.934
358,airnet50_1x64d_r2,Unknown,intel,0.939
359,airnext50_32x4d_r2,Unknown,intel,0.9393333333333334
360,cbam_resnet50,Unknown,intel,0.94
361,scnet50,Unknown,intel,0.9363333333333334
362,scnet101,Unknown,intel,0.9343333333333332
363,regnetx002,Unknown,intel,0.93
364,regnetx004,Unknown,intel,0.937
365,regnetx006,Unknown,intel,0.941
366,regnetx008,Unknown,intel,0.9346666666666666
367,regnety002,Unknown,intel,0.9283333333333332
368,regnety004,Unknown,intel,0.938
369,regnety006,Unknown,intel,0.9346666666666666
370,regnety008,Unknown,intel,0.9336666666666666
